nly used for treating NE in children but is poorly understood by most scholars.,None,"A total of 369 children with NE were randomized to receive either suoquan, desmopressin plus suoquan, desmopressin, or behavioral intervention for 2 months, and the response rates evaluated. Subsequently, the viable demographic factors that could lead to success were investigated on logistic regression analysis. Moreover, after 3 months of follow up, the relapse rate was investigated.","The complete response (CR) rate in the desmopressin plus suoquan group (37.5%) was higher than that in the behavioral intervention group (6.3%, P < 0.007). The desmopressin group had a lower CR rate (22.5%) and a higher non-response rate (25.0%) than the desmopressin plus suoquan group (non-response rate, 21.9%; P > 0.007). The relapse rate in the desmopressin group was significantly higher than that in the desmopressin plus suoquan group (72.2% vs. 30.6%, P < 0.007). On Multivariate analysis, treatment group, NE frequency, and age were independent predictors of CR at 2 months (P < 0.05).","Combined traditional Chinese and Western treatment in children with NE is effective and has a low relapse rate. NE frequency, treatment method, and age are important predictive factors for CR after treatment."
9294,29519353,Etidronate for Prevention of Ectopic Mineralization in Patients With Pseudoxanthoma Elasticum,"Kranenburg G, de Jong PA, Bartstra JW, Lagerweij SJ, Lam MG, Ossewaarde-van Norel J, Risseeuw S, van Leeuwen R, Imhof SM, Verhaar HJ, de Vries JJ, Slart RHJA, Luurtsema G, den Harder AM, Visseren FLJ, Mali WP, Spiering W.",J Am Coll Cardiol. 2018 Mar 13;71(10):1117-1126. doi: 10.1016/j.jacc.2017.12.062.,Kranenburg G,J Am Coll Cardiol,2018,2018/03/10,,,10.1016/j.jacc.2017.12.062,None,None,None,None,None
9295,28270119,Option B+ for prevention of vertical HIV transmission has no influence on adverse birth outcomes in a cross-sectional cohort in Western Uganda,"Rempis EM, Schnack A, Decker S, Braun V, Rubaihayo J, Tumwesigye NM, Busingye P, Harms G, Theuring S.",BMC Pregnancy Childbirth. 2017 Mar 7;17(1):82. doi: 10.1186/s12884-017-1263-2.,Rempis EM,BMC Pregnancy Childbirth,2017,2017/03/09,PMC5341453,,10.1186/s12884-017-1263-2,None,None,None,None,None
9296,28094168,Clinical Epidemiology and Treatment of Febrile and Afebrile Convulsions With Mild Gastroenteritis: A Multicenter Study,"Higuchi Y, Kubo T, Mitsuhashi T, Nakamura N, Yokota I, Komiyama O, Kamimaki I, Yamamoto S, Uchida Y, Watanabe K, Yamashita H, Tanaka S, Iguchi K, Ichimi R, Miyagawa S, Takayanagi T, Koga H, Shukuya A, Saito A, Horibe K.",Pediatr Neurol. 2017 Feb;67:78-84. doi: 10.1016/j.pediatrneurol.2016.05.011. Epub 2016 Aug 3.,Higuchi Y,Pediatr Neurol,2017,2017/01/18,,,10.1016/j.pediatrneurol.2016.05.011,None,None,None,None,None
9297,27889802,"F-18 labelled PSMA-1007: biodistribution, radiation dosimetry and histopathological validation of tumor lesions in prostate cancer patients","Giesel FL, Hadaschik B, Cardinale J, Radtke J, Vinsensia M, Lehnert W, Kesch C, Tolstov Y, Singer S, Grabe N, Duensing S, Schäfer M, Neels OC, Mier W, Haberkorn U, Kopka K, Kratochwil C.",Eur J Nucl Med Mol Imaging. 2017 Apr;44(4):678-688. doi: 10.1007/s00259-016-3573-4. Epub 2016 Nov 26.,Giesel FL,Eur J Nucl Med Mol Imaging,2017,2016/11/28,PMC5323462,,10.1007/s00259-016-3573-4,None,"The prostate-specific membrane antigen (PSMA) targeted positron-emitting-tomography (PET) tracer <sup>68</sup>Ga-PSMA-11 shows great promise in the detection of prostate cancer. However, <sup>68</sup>Ga has several shortcomings as a radiolabel including short half-life and non-ideal energies, and this has motivated consideration of <sup>18</sup>F-labelled analogs. <sup>18</sup>F-PSMA-1007 was selected among several <sup>18</sup>F-PSMA-ligand candidate compounds because it demonstrated high labelling yields, outstanding tumor uptake and fast, non-urinary background clearance. Here, we describe the properties of <sup>18</sup>F-PSMA-1007 in human volunteers and patients.","Radiation dosimetry of <sup>18</sup>F-PSMA-1007 was determined in three healthy volunteers who underwent whole-body PET-scans and concomitant blood and urine sampling. Following this, ten patients with high-risk prostate cancer underwent <sup>18</sup>F-PSMA-1007 PET/CT (1 h and 3 h p.i.) and normal organ biodistribution and tumor uptakes were examined. Eight patients underwent prostatectomy with extended pelvic lymphadenectomy. Uptake in intra-prostatic lesions and lymph node metastases were correlated with final histopathology, including PSMA immunostaining.","With an effective dose of approximately 4.4-5.5 mSv per 200-250 MBq examination, <sup>18</sup>F-PSMA-1007 behaves similar to other PSMA-PET agents as well as to other <sup>18</sup>F-labelled PET-tracers. In comparison to other PSMA-targeting PET-tracers, <sup>18</sup>F-PSMA-1007 has reduced urinary clearance enabling excellent assessment of the prostate. Similar to <sup>18</sup>F-DCFPyL and with slightly slower clearance kinetics than PSMA-11, favorable tumor-to-background ratios are observed 2-3 h after injection. In eight patients, diagnostic findings were successfully validated by histopathology. <sup>18</sup>F-PSMA-1007 PET/CT detected 18 of 19 lymph node metastases in the pelvis, including nodes as small as 1 mm in diameter.","<sup>18</sup>F-PSMA-1007 performs at least comparably to <sup>68</sup>Ga-PSMA-11, but its longer half-life combined with its superior energy characteristics and non-urinary excretion overcomes some practical limitations of <sup>68</sup>Ga-labelled PSMA-targeted tracers."
9298,33465455,Dupilumab improves upper and lower airway disease control in chronic rhinosinusitis with nasal polyps and asthma,"Laidlaw TM, Bachert C, Amin N, Desrosiers M, Hellings PW, Mullol J, Maspero JF, Gevaert P, Zhang M, Mao X, Khan AH, Kamat S, Patel N, Graham NMH, Ruddy M, Staudinger H, Mannent LP.",Ann Allergy Asthma Immunol. 2021 May;126(5):584-592.e1. doi: 10.1016/j.anai.2021.01.012. Epub 2021 Jan 16.,Laidlaw TM,Ann Allergy Asthma Immunol,2021,2021/01/19,,,10.1016/j.anai.2021.01.012,None,None,None,None,None
9299,32948120,"Sing4Health: protocol of a randomized controlled trial of the effects of a singing group intervention on the well-being, cognitive function and health of older adults","Galinha IC, Farinha M, Lima ML, Palmeira AL.",BMC Geriatr. 2020 Sep 18;20(1):354. doi: 10.1186/s12877-020-01686-6.,Galinha IC,BMC Geriatr,2020,2020/09/19,PMC7501704,,10.1186/s12877-020-01686-6,None,None,None,None,None
9300,31471037,Human Extinction Learning Is Accelerated by an Angiotensin Antagonist via Ventromedial Prefrontal Cortex and Its Connections With Basolateral Amygdala,"Zhou F, Geng Y, Xin F, Li J, Feng P, Liu C, Zhao W, Feng T, Guastella AJ, Ebstein RP, Kendrick KM, Becker B.",Biol Psychiatry. 2019 Dec 15;86(12):910-920. doi: 10.1016/j.biopsych.2019.07.007. Epub 2019 Jul 25.,Zhou F,Biol Psychiatry,2019,2019/09/01,,,10.1016/j.biopsych.2019.07.007,None,None,None,None,None
9301,30509509,Efficacy and safety of alirocumab 150mg every 4 weeks in hypercholesterolemic patients on non-statin lipid-lowering therapy or lowest strength dose of statin: ODYSSEY NIPPON,"Teramoto T, Kiyosue A, Ishigaki Y, Harada-Shiba M, Kawabata Y, Ozaki A, Baccara-Dinet MT, Sata M.",J Cardiol. 2019 Mar;73(3):218-227. doi: 10.1016/j.jjcc.2018.10.004. Epub 2018 Nov 30.,Teramoto T,J Cardiol,2019,2018/12/05,,,10.1016/j.jjcc.2018.10.004,None,None,None,None,None
9302,29017565,Safety and efficacy of Qishen granules in patients with chronic heart failure: study protocol for a randomized controlled trial,"Wang J, Shi J, Wei J, Wang J, Gao K, Li X, Chen J, Li S, Zhao H, Wang W.",Trials. 2017 Oct 10;18(1):468. doi: 10.1186/s13063-017-2193-z.,Wang J,Trials,2017,2017/10/12,PMC5634880,,10.1186/s13063-017-2193-z,"Chronic heart failure (CHF), the final stage of various cardiovascular diseases, is a major public health problem resulting in significant hospitalization rates, mortality, and huge health care costs despite advances in the treatment and management of heart failure and heart failure-related risk factors. Qishen granules (QSG), a Chinese herbal formula, is widely used by traditional Chinese medicine (TCM) practitioners to treat CHF. Several animal experimental studies have showed that QSG can significantly relieve the heart failure symptoms in CHF rat models. However, there is as yet no standard clinical trial to confirm this. Thus, the investigators are conducting this study to evaluate the efficacy and safety of QSG in a large, and varied population.",None,"This study is designed as a randomized, placebo-controlled, multi-center, double-blind clinical trial with parallel groups. A total of 200 patients with CHF will be recruited and randomly allocated to either the QSG treatment group or the placebo group (in a 1:1 ratio). The patients will receive QSG or placebo granules twice a day for 12 weeks. The primary outcome is the proportion of patients in the QSG group, compared with the placebo group, demonstrating a more than 30% decrease in NT-proBNP level during 12 weeks of treatment. The secondary outcomes consist of composite cardiac events, New York Heart Association functional classification, 6-minute walking distance, left ventricular ejection fraction, patient quality of life, and the TCM syndrome integral scale.",None,"On a background of standard treatment, QSG may further reduce the levels of NT-proBNP. This trial will provide high-quality evidence on the efficacy and safety of QSG in treating CHF, thus providing reference for clinical application of QSG."
9303,28646901,Effect of ezetimibe add-on therapy over 52 weeks extension analysis of prospective randomized trial (RESEARCH study) in type 2 diabetes subjects,"Sakamoto K, Kawamura M, Watanabe T, Ashidate K, Kohro T, Tanaka A, Mori Y, Tagami M, Hirano T, Yamazaki T, Shiba T; RESEARCH Study Group.",Lipids Health Dis. 2017 Jun 24;16(1):122. doi: 10.1186/s12944-017-0508-4.,Sakamoto K,Lipids Health Dis,2017,2017/06/26,PMC5483302,,10.1186/s12944-017-0508-4,"Lowering cholesterol levels decreases the risk of atherosclerotic diseases. Effective ways to stably reduce LDL-C level are warranted in type 2 diabetic patients, a high-risk population for CVD, with various anti-diabetic therapeutic background. The RESEARCH study focuses on LDL-C reduction in this population along with modifications of the lipid profiles. We evaluated long-term ezetimibe add-on therapy in T2DM patients with hypercholesterolemia.",None,"In a randomized, multicenter, open-label, prospective study, a total of 109 T2DM patients not attaining LDL-C target value despite first-line dose statin (10 mg of atorvastatin or 1 mg of pitavastatin) therapy in Japan were recruited. We investigated the difference in cholesterol lowering effect between ezetimibe (10 mg) add-on statin (EAT) group and double-dose statin (DST) group. Changes of parameters related to atherosclerotic event risks were assessed.","The reduction of LDL-C was larger in the EAT group (28.3%) than in the DST group (9.2%) at 52 weeks as well as the primary endpoint of 12 weeks. EAT achieved significant lower levels of TC and apo B, respectively. Both treatments attained significant reduction in sd-LDL-C or hsCRP on this long-term basis. Notably, sd-LDL-C in EAT reduced as low as 36.1 ± 14.9 mg/dl to reach near the threshold (35.0 mg/dl) for atherosclerosis with significantly higher achievement rate (55.6%) than DST treatment. Simultaneously, hsCRP reduction by EAT attained as low value as 0.52 ± 0.43 mg/l.","In the present 52-week long-term period, ezetimibe add-on therapy showed a robust advantage in lowering LDL-C and in attaining target LDL-C values compared with the doubling of statin dose. Moreover, it's meaningful that sd-LDL, powerfully atherogenic lipoprotein, exhibited prominent decrease consistently prominently by ezetimibe add-on therapy. DM patients with hypercholesterolemia are at high risk for CAD, and adding ezetimibe onto usual-dose statin treatment in Japan has been suggested as the first-line therapy for those DM patients who failed to attain the target LDL-C value (UMIN000002593)."
9304,28641582,A multicentre randomised controlled trial of levetiracetam versus phenytoin for convulsive status epilepticus in children (protocol): Convulsive Status Epilepticus Paediatric Trial (ConSEPT) - a PREDICT study,"Dalziel SR, Furyk J, Bonisch M, Oakley E, Borland M, Neutze J, Donath S, Sharpe C, Harvey S, Davidson A, Craig S, Phillips N, George S, Rao A, Cheng N, Zhang M, Sinn K, Kochar A, Brabyn C, Babl FE; PREDICT research network.",BMC Pediatr. 2017 Jun 22;17(1):152. doi: 10.1186/s12887-017-0887-8.,Dalziel SR,BMC Pediatr,2017,2017/06/24,PMC5480418,,10.1186/s12887-017-0887-8,"Convulsive status epilepticus (CSE) is the most common life-threatening childhood neurological emergency. Despite this, there is a lack of high quality evidence supporting medication use after first line benzodiazepines, with current treatment protocols based solely on non-experimental evidence and expert opinion. The current standard of care, phenytoin, is only 60% effective, and associated with considerable adverse effects. A newer anti-convulsant, levetiracetam, can be given faster, is potentially more efficacious, with a more tolerable side effect profile. The primary aim of the study presented in this protocol is to determine whether intravenous (IV) levetiracetam or IV phenytoin is the better second line treatment for the emergency management of CSE in children.",None,"200 children aged between 3 months and 16 years presenting to 13 emergency departments in Australia and New Zealand with CSE, that has failed to stop with first line benzodiazepines, will be enrolled into this multicentre open randomised controlled trial. Participants will be randomised to 40 mg/kg IV levetiracetam infusion over 5 min or 20 mg/kg IV phenytoin infusion over 20 min. The primary outcome for the study is clinical cessation of seizure activity five minutes following the completion of the infusion of the study medication. Blinded confirmation of the primary outcome will occur with the primary outcome assessment being video recorded and assessed by a primary outcome assessment team blinded to treatment allocation. Secondary outcomes include: Clinical cessation of seizure activity at two hours; Time to clinical seizure cessation; Need for rapid sequence induction; Intensive care unit (ICU) admission; Serious adverse events; Length of Hospital/ICU stay; Health care costs; Seizure status/death at one-month post discharge.",None,"This paper presents the background, rationale, and design for a randomised controlled trial comparing levetiracetam to phenytoin in children presenting with CSE in whom benzodiazepines have failed. This study will provide the first high quality evidence for management of paediatric CSE post first-line benzodiazepines."
9305,28478132,Lipid-modifying efficacy and tolerability of anacetrapib added to ongoing statin therapy in Japanese patients with dyslipidemia,"Teramoto T, Daida H, Ikewaki K, Arai H, Maeda Y, Nakagomi M, Shirakawa M, Watanabe Y, Kakikawa T, Numaguchi H, Johnson-Levonas AO, Blaustein RO.",Atherosclerosis. 2017 Jun;261:69-77. doi: 10.1016/j.atherosclerosis.2017.03.009. Epub 2017 Mar 10.,Teramoto T,Atherosclerosis,2017,2017/05/08,,,10.1016/j.atherosclerosis.2017.03.009,None,None,None,None,None
9306,27903296,Factors affecting long-term efficacy of T regulatory cell-based therapy in type 1 diabetes,"Marek-Trzonkowska N, Myśliwiec M, Iwaszkiewicz-Grześ D, Gliwiński M, Derkowska I, Żalińska M, Zieliński M, Grabowska M, Zielińska H, Piekarska K, Jaźwińska-Curyłło A, Owczuk R, Szadkowska A, Wyka K, Witkowski P, Młynarski W, Jarosz-Chobot P, Bossowski A, Siebert J, Trzonkowski P.",J Transl Med. 2016 Dec 1;14(1):332. doi: 10.1186/s12967-016-1090-7.,Marek-Trzonkowska N,J Transl Med,2016,2016/12/02,PMC5131539,,10.1186/s12967-016-1090-7,None,None,None,None,None
9307,30789347,"A Smoking Prevention Program Delivered by Medical Students to Secondary Schools in Brazil Called ""Education Against Tobacco"": Randomized Controlled Trial","Lisboa OC, Bernardes-Souza B, Xavier LEF, Almeida MR, Corrêa PCRP, Brinker TJ.",J Med Internet Res. 2019 Feb 21;21(2):e12854. doi: 10.2196/12854.,Lisboa OC,J Med Internet Res,2019,2019/02/22,PMC6416894,,10.2196/12854,None,None,None,None,None
9308,28798049,Patient-reported outcomes from a phase 3 study of baricitinib versus placebo or adalimumab in rheumatoid arthritis: secondary analyses from the RA-BEAM study,"Keystone EC, Taylor PC, Tanaka Y, Gaich C, DeLozier AM, Dudek A, Zamora JV, Cobos JAC, Rooney T, Bono S, Arora V, Linetzky B, Weinblatt ME.",Ann Rheum Dis. 2017 Nov;76(11):1853-1861. doi: 10.1136/annrheumdis-2017-211259. Epub 2017 Aug 10.,Keystone EC,Ann Rheum Dis,2017,2017/08/12,PMC5705852,,10.1136/annrheumdis-2017-211259,To assess the effect of baricitinib on patient-reported outcomes (PROs) in patients with active rheumatoid arthritis and an inadequate response to methotrexate (MTX).,None,"In this double-blind phase 3 study, patients were randomised 3:3:2 to placebo (n=488), baricitinib 4 mg once daily (n=487), or adalimumab 40 mg biweekly (n=330) with background MTX. PROs included the SF-36, EuroQol 5-D (EQ-5D) index scores and visual analogue scale, Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-F), Health Assessment Questionnaire-Disability Index (HAQ-DI), Patient's Global Assessment of Disease Activity (PtGA), patient's assessment of pain and Work Productivity and Activity Impairment Questionnaire-Rheumatoid Arthritis (WPAI-RA), and measures collected in electronic patient daily diaries: duration and severity of morning joint stiffness (MJS), Worst Ttiredness and Worst Joint Pain. The primary study endpoint was at week 12. Treatment comparisons were assessed with logistic regression for categorical measures or analysis of covariance for continuous variables.","Compared with placebo and adalimumab, baricitinib showed statistically significant improvements (p≤0.05) in HAQ-DI, PtGA, pain, FACIT-F, SF-36 physical component score, EQ-5D index scores and WPAI-RA daily activity at week 12. Improvements were maintained for measures assessed to week 52. Statistically significant improvement in patient diary measures (MJS duration and severity), worst tiredness and worst joint pain were observed for baricitinib versus placebo and adalimumab at week 12 (p≤0.05).","Baricitinib provided significantly greater improvement in most PROs compared with placebo and adalimumab, including physical function MJS, pain, fatigue and quality of life. Improvement was maintained to the end of the study (week 52)."
9309,27765312,Peripheral Revascularization in Patients With Peripheral Artery Disease With Vorapaxar: Insights From the TRA 2°P-TIMI 50 Trial,"Bonaca MP, Creager MA, Olin J, Scirica BM, Gilchrist IC Jr, Murphy SA, Goodrich EL, Braunwald E, Morrow DA.",JACC Cardiovasc Interv. 2016 Oct 24;9(20):2157-2164. doi: 10.1016/j.jcin.2016.07.034.,Bonaca MP,JACC Cardiovasc Interv,2016,2016/10/22,,,10.1016/j.jcin.2016.07.034,None,None,None,None,None
9310,30059843,Efficacy and safety of alirocumab in individuals with type 2 diabetes mellitus with or without mixed dyslipidaemia: Analysis of the ODYSSEY LONG TERM trial,"Taskinen MR, Del Prato S, Bujas-Bobanovic M, Louie MJ, Letierce A, Thompson D, Colhoun HM.",Atherosclerosis. 2018 Sep;276:124-130. doi: 10.1016/j.atherosclerosis.2018.07.017. Epub 2018 Jul 21.,Taskinen MR,Atherosclerosis,2018,2018/07/31,,,10.1016/j.atherosclerosis.2018.07.017,None,None,None,None,None
9311,32653447,Effect of Dapagliflozin in Patients With HFrEF Treated With Sacubitril/Valsartan: The DAPA-HF Trial,"Solomon SD, Jhund PS, Claggett BL, Dewan P, Køber L, Kosiborod MN, Martinez FA, Ponikowski P, Sabatine MS, Inzucchi SE, Desai AS, Bengtsson O, Lindholm D, Sjostrand M, Langkilde AM, McMurray JJV.",JACC Heart Fail. 2020 Oct;8(10):811-818. doi: 10.1016/j.jchf.2020.04.008. Epub 2020 Jul 8.,Solomon SD,JACC Heart Fail,2020,2020/07/13,,,10.1016/j.jchf.2020.04.008,None,None,None,None,None
9312,31387121,"The effect of menaquinone-7 supplementation on vascular calcification in patients with diabetes: a randomized, double-blind, placebo-controlled trial","Zwakenberg SR, de Jong PA, Bartstra JW, van Asperen R, Westerink J, de Valk H, Slart RHJA, Luurtsema G, Wolterink JM, de Borst GJ, van Herwaarden JA, van de Ree MA, Schurgers LJ, van der Schouw YT, Beulens JWJ.",Am J Clin Nutr. 2019 Oct 1;110(4):883-890. doi: 10.1093/ajcn/nqz147.,Zwakenberg SR,Am J Clin Nutr,2019,2019/08/07,PMC6766434,,10.1093/ajcn/nqz147,None,None,None,None,None
9313,31362993,Safety and effectiveness of upadacitinib or adalimumab plus methotrexate in patients with rheumatoid arthritis over 48 weeks with switch to alternate therapy in patients with insufficient response,"Fleischmann RM, Genovese MC, Enejosa JV, Mysler E, Bessette L, Peterfy C, Durez P, Ostor A, Li Y, Song IH.",Ann Rheum Dis. 2019 Nov;78(11):1454-1462. doi: 10.1136/annrheumdis-2019-215764. Epub 2019 Jul 30.,Fleischmann RM,Ann Rheum Dis,2019,2019/08/01,PMC6837258,,10.1136/annrheumdis-2019-215764,None,None,None,None,None
9314,31309699,The Dapagliflozin And Prevention of Adverse-outcomes in Heart Failure (DAPA-HF) trial: baseline characteristics,"McMurray JJV, DeMets DL, Inzucchi SE, Køber L, Kosiborod MN, Langkilde AM, Martinez FA, Bengtsson O, Ponikowski P, Sabatine MS, Sjöstrand M, Solomon SD; DAPA-HF Committees and Investigators.",Eur J Heart Fail. 2019 Nov;21(11):1402-1411. doi: 10.1002/ejhf.1548. Epub 2019 Jul 15.,McMurray JJV,Eur J Heart Fail,2019,2019/07/17,,,10.1002/ejhf.1548,None,None,None,None,None
9315,30823913,Effects of a long-term home-based exercise training programme using minimal equipment vs. usual care in COPD patients: a study protocol for two multicentre randomised controlled trials (HOMEX-1 and HOMEX-2 trials),"Frei A, Radtke T, Dalla Lana K, Braun J, Müller RM, Puhan MA.",BMC Pulm Med. 2019 Mar 1;19(1):57. doi: 10.1186/s12890-019-0817-7.,Frei A,BMC Pulm Med,2019,2019/03/03,PMC6397487,,10.1186/s12890-019-0817-7,"Exercise training is an important component of pulmonary rehabilitation (PR) programmes in chronic obstructive pulmonary disease (COPD), but the great majority of COPD patients who would benefit from PR never follow such programmes or fail to maintain exercise training after PR completion. Against this background, we developed an exercise training programme that requires minimal equipment and can be implemented long-term in the patient's home-setting. The aims of the HOMEX-1 and HOMEX-2 trials are to assess the effectiveness of this home-based exercise training programme in two groups of COPD patients over the course of one year: patients who have completed PR (HOMEX-1 trial) and patients who did not enrol in existing PR programmes within the last two years (HOMEX-2 trial).",None,"HOMEX-1 and HOMEX-2 are multicentre, parallel group, randomised controlled trials. For both trials each, it is planned to include 120 study participants with a diagnosis of COPD. Participants will be randomised with a 1:1 ratio into the intervention group or the control group (usual care/no intervention). The intervention consists of minimal-equipment exercise training elements with progressive level of intensity, conducted by the participant during six days per week and instructed and coached by a trained health care professional during three home visits and regular telephone calls during one year. Primary outcome is change in dyspnoea (domain of Chronic Respiratory Questionnaire) from baseline to 12-months follow-up. Secondary outcomes are change in dyspnoea over the course of the year (assessed at 3, 6 and 12 month) and change in functional exercise capacity, physical activity, health-related quality of life, health status, exacerbations and symptoms from baseline to 12 months follow-up. In addition, explanatory, safety and cost-effectiveness outcomes will be assessed. We will conduct intention-to-treat analyses separately per trial and per protocol analyses as sensitivity analyses.",None,"The HOMEX-1 and HOMEX-2 trials assess a novel intervention that provides an innovative way of making exercise training as accessible as possible for COPD patients. If the intervention proves to be effective long-term, it will fill the gap of providing an easily accessible and feasible intervention so that more COPD patients can follow an exercise programme."
9316,30420291,Evidence of muscle loss delay and improvement of hyperinsulinemia and insulin resistance in Duchenne muscular dystrophy supplemented with omega-3 fatty acids: A randomized study,"Rodríguez-Cruz M, Atilano-Miguel S, Barbosa-Cortés L, Bernabé-García M, Almeida-Becerril T, Cárdenas-Conejo A, Del Rocío Cruz-Guzmán O, Maldonado-Hernández J.",Clin Nutr. 2019 Oct;38(5):2087-2097. doi: 10.1016/j.clnu.2018.10.017. Epub 2018 Oct 30.,Rodríguez-Cruz M,Clin Nutr,2019,2018/11/14,,,10.1016/j.clnu.2018.10.017,None,None,None,None,None
9317,30290829,Noise in the intensive care unit and its influence on sleep quality: a multicenter observational study in Dutch intensive care units,"Simons KS, Verweij E, Lemmens PMC, Jelfs S, Park M, Spronk PE, Sonneveld JPC, Feijen HM, van der Steen MS, Kohlrausch AG, van den Boogaard M, de Jager CPC.",Crit Care. 2018 Oct 5;22(1):250. doi: 10.1186/s13054-018-2182-y.,Simons KS,Crit Care,2018,2018/10/07,PMC6173893,,10.1186/s13054-018-2182-y,None,None,None,None,None
9318,30242948,"Effect of liraglutide on ambulatory blood pressure in patients with hypertension and type 2 diabetes: A randomized, double-blind, placebo-controlled trial","Liakos A, Lambadiari V, Bargiota A, Kitsios K, Avramidis I, Kotsa K, Gerou S, Boura P, Tentolouris N, Dimitriadis G, Tsapas A.",Diabetes Obes Metab. 2019 Mar;21(3):517-524. doi: 10.1111/dom.13541. Epub 2018 Oct 23.,Liakos A,Diabetes Obes Metab,2019,2018/09/23,,,10.1111/dom.13541,None,None,None,None,None
9319,27642057,Effects of exchanging carbohydrate or monounsaturated fat with saturated fat on inflammatory and thrombogenic responses in subjects with abdominal obesity: A randomized controlled trial,"Teng KT, Chang LF, Vethakkan SR, Nesaretnam K, Sanders TAB.",Clin Nutr. 2017 Oct;36(5):1250-1258. doi: 10.1016/j.clnu.2016.08.026. Epub 2016 Sep 8.,Teng KT,Clin Nutr,2017,2016/09/20,,,10.1016/j.clnu.2016.08.026,None,None,None,None,None
9320,33587897,"QT effects of bedaquiline, delamanid, or both in patients with rifampicin-resistant tuberculosis: a phase 2, open-label, randomised, controlled trial","Dooley KE, Rosenkranz SL, Conradie F, Moran L, Hafner R, von Groote-Bidlingmaier F, Lama JR, Shenje J, De Los Rios J, Comins K, Morganroth J, Diacon AH, Cramer YS, Donahue K, Maartens G; AIDS Clinical Trials Group (ACTG) A5343 DELIBERATE Study Team.",Lancet Infect Dis. 2021 Jul;21(7):975-983. doi: 10.1016/S1473-3099(20)30770-2. Epub 2021 Feb 12.,Dooley KE,Lancet Infect Dis,2021,2021/02/15,PMC8312310,NIHMS1675950,10.1016/S1473-3099(20)30770-2,None,None,None,None,None
9321,30951600,Long-Term Safety and Efficacy of Dolutegravir in Treatment-Experienced Adolescents With Human Immunodeficiency Virus Infection: Results of the IMPAACT P1093 Study,"Viani RM, Ruel T, Alvero C, Fenton T, Acosta EP, Hazra R, Townley E, Palumbo P, Buchanan AM, Vavro C, Singh R, Graham B, Anthony P, George K, Wiznia A; P1093 Study Team.",J Pediatric Infect Dis Soc. 2020 Apr 30;9(2):159-165. doi: 10.1093/jpids/piy139.,Viani RM,J Pediatric Infect Dis Soc,2020,2019/04/06,PMC7192395,,10.1093/jpids/piy139,P1093 is an ongoing phase I/II multicenter open-label study of dolutegravir plus an optimized background regimen in age-defined pediatric cohorts; here we report the long-term safety and virologic efficacy outcomes for the oldest cohort.,None,"The study enrolled human immunodeficiency virus type 1 (HIV-1)-infected treatment-experienced adolescents aged 12 to <18 years, with an HIV-1 RNA level ≥1000 copies/mL . Cumulative safety and HIV-1 RNA outcomes were assessed once the last enrolled participant reached 144 weeks of follow-up.","Among 23 adolescents enrolled, 16 remained in the study at least 144 weeks; the median follow-up was 153 weeks (range, 55-193 weeks). Dolutegravir was well tolerated, with grade 3 clinical adverse events in 5 participants, grade 3 laboratory abnormalities in 3, and grade 4 laboratory abnormalities in 1; none of the adverse events or abnormalities were judged to be treatment related. In an-intent-to-treat analysis, an HIV-1 RNA level <400 copies/mL at week 144 was achieved in 43% (10 of 23 participants; 95% confidence interval, 23.2%-65.5%); in addition, 35% (8 of 23; 16.4%-57.3%) had an HIV-1 RNA level <50 copies/mL. Nine participants (39%) discontinued study treatment before 144 weeks, but none because of adverse events or drug intolerance. All participants with sustained virologic control had excellent adherence; most who experienced virologic failure had adherence levels <90%. HIV-1 genotypic drug resistance testing was available at time of failure from 6 participants; 1 had evolution in integrase resistance with E138T, S147G, and R263K mutations at week 192 and phenotypic dolutegravir resistance of a 5.1-fold change.","Dolutegravir plus an optimized background regimen seemed safe, well tolerated, and efficacious in this cohort of treatment-experienced HIV-1-infected adolescents. Adherence remains problematic in this population."
9322,30943337,Benralizumab for PDGFRA-Negative Hypereosinophilic Syndrome,"Kuang FL, Legrand F, Makiya M, Ware J, Wetzler L, Brown T, Magee T, Piligian B, Yoon P, Ellis JH, Sun X, Panch SR, Powers A, Alao H, Kumar S, Quezado M, Yan L, Lee N, Kolbeck R, Newbold P, Goldman M, Fay MP, Khoury P, Maric I, Klion AD.",N Engl J Med. 2019 Apr 4;380(14):1336-1346. doi: 10.1056/NEJMoa1812185.,Kuang FL,N Engl J Med,2019,2019/04/04,PMC6557265,NIHMS1529629,10.1056/NEJMoa1812185,None,None,None,None,None
9323,30999929,"Efficacy and safety of namilumab, a human monoclonal antibody against granulocyte-macrophage colony-stimulating factor (GM-CSF) ligand in patients with rheumatoid arthritis (RA) with either an inadequate response to background methotrexate therapy or an inadequate response or intolerance to an anti-TNF (tumour necrosis factor) biologic therapy: a randomized, controlled trial","Taylor PC, Saurigny D, Vencovsky J, Takeuchi T, Nakamura T, Matsievskaia G, Hunt B, Wagner T, Souberbielle B; NEXUS Study Group.",Arthritis Res Ther. 2019 Apr 18;21(1):101. doi: 10.1186/s13075-019-1879-x.,Taylor PC,Arthritis Res Ther,2019,2019/04/20,PMC6471864,,10.1186/s13075-019-1879-x,None,None,None,None,None
